name,long,lat
Indian Cr LW,-93.3874453,41.8684787
Indian Cr no LW,-93.3918105,41.8727485
Nyack LW,-113.7307694,48.4661371
Nyack no LW,-113.7230642,48.475595
Rock Cr WA LW 1,-121.4306672,47.4896818
Rock Cr WA LW 2,-121.4383677,47.4927115
Rock Cr WA no LW,-121.4188174,47.4875976
Rock Cr WY LW,-106.229059,41.5802428
Rock Cr WY no LW,-106.2223104,41.5865331
Skunk Cr LW,-92.1992264,41.2338385
Skunk Cr no LW,-92.2075023,41.2339223
Snoqualmie LW,-121.4654662,47.5192387
Snoqualmie no LW,-121.4732946,47.5230218
